run_id,use_cert_label,seed,epoch_idx,accuracy,loss,nonzero_weights,prob_mass_update,prob_mass_projected,attack__semi,attack__epsilon,attack__use_cert,attack__block_size,attack__epochs,attack__fine_tune_epochs,attack__keep_heuristic,attack__search_space_size,attack__do_synchronize,attack__loss_type,selector__accuracy_drop_selector_mode,selector__n_candidates_k_sample,selector__n_candidates_one_sample,selector__drop_mode,selector__acc_drop_threshold_k_samples,selector__loss_drop_threshold_k_samples,selector__k_samples_batch,selector__training_data_node_cap,selector__tau,selector__score_batch_size,selector__max_sampling_tries,selector__exclude_tried,selector__lp_hit_rate_detour,selector__lp_hit_rate_top_k,selector__lp_hit_rate_out_dir
1779606368-accuracy_drop_selector_one_sample_endpointPRBCD-seed1-eps0.1-bs10000-semi1-ep100-ft50,accuracy_drop_selector_one_sample_endpointPRBCD,1,32,0.6604743003845215,-0.34945544600486755,4679.0,819.0787963867188,797.9901123046875,True,0.1,accuracy_drop_selector,10000,100,50,WeightOnly,100000,True,tanhMargin,one_sample,2000,5000,endpointPRBCD,0.001,0.001,10,0,0.8,1000,2000000,True,False,200,extendedPlotting/lpEndpointHitRate
1779606368-accuracy_drop_selector_one_sample_endpointPRBCD-seed1-eps0.1-bs10000-semi1-ep100-ft50,accuracy_drop_selector_one_sample_endpointPRBCD,1,33,0.6577075123786926,-0.34636303782463074,4570.0,819.2706298828125,798.0101318359375,True,0.1,accuracy_drop_selector,10000,100,50,WeightOnly,100000,True,tanhMargin,one_sample,2000,5000,endpointPRBCD,0.001,0.001,10,0,0.8,1000,2000000,True,False,200,extendedPlotting/lpEndpointHitRate
1779606368-accuracy_drop_selector_one_sample_endpointPRBCD-seed1-eps0.1-bs10000-semi1-ep100-ft50,accuracy_drop_selector_one_sample_endpointPRBCD,1,34,0.6569169759750366,-0.3436552882194519,4415.0,819.333740234375,797.9951171875,True,0.1,accuracy_drop_selector,10000,100,50,WeightOnly,100000,True,tanhMargin,one_sample,2000,5000,endpointPRBCD,0.001,0.001,10,0,0.8,1000,2000000,True,False,200,extendedPlotting/lpEndpointHitRate
1779606368-accuracy_drop_selector_one_sample_endpointPRBCD-seed1-eps0.1-bs10000-semi1-ep100-ft50,accuracy_drop_selector_one_sample_endpointPRBCD,1,35,0.6553359627723694,-0.3410598337650299,4294.0,819.5928344726562,797.9761962890625,True,0.1,accuracy_drop_selector,10000,100,50,WeightOnly,100000,True,tanhMargin,one_sample,2000,5000,endpointPRBCD,0.001,0.001,10,0,0.8,1000,2000000,True,False,200,extendedPlotting/lpEndpointHitRate
1779606368-accuracy_drop_selector_one_sample_endpointPRBCD-seed1-eps0.1-bs10000-semi1-ep100-ft50,accuracy_drop_selector_one_sample_endpointPRBCD,1,36,0.6541501879692078,-0.3388146162033081,4189.0,819.5601196289062,797.969482421875,True,0.1,accuracy_drop_selector,10000,100,50,WeightOnly,100000,True,tanhMargin,one_sample,2000,5000,endpointPRBCD,0.001,0.001,10,0,0.8,1000,2000000,True,False,200,extendedPlotting/lpEndpointHitRate
1779606368-accuracy_drop_selector_one_sample_endpointPRBCD-seed1-eps0.1-bs10000-semi1-ep100-ft50,accuracy_drop_selector_one_sample_endpointPRBCD,1,37,0.6529644131660461,-0.3365195691585541,4061.0,820.1469116210938,797.98876953125,True,0.1,accuracy_drop_selector,10000,100,50,WeightOnly,100000,True,tanhMargin,one_sample,2000,5000,endpointPRBCD,0.001,0.001,10,0,0.8,1000,2000000,True,False,200,extendedPlotting/lpEndpointHitRate
1779606368-accuracy_drop_selector_one_sample_endpointPRBCD-seed1-eps0.1-bs10000-semi1-ep100-ft50,accuracy_drop_selector_one_sample_endpointPRBCD,1,38,0.6525691747665405,-0.334065318107605,3956.0,820.4319458007812,798.0015869140625,True,0.1,accuracy_drop_selector,10000,100,50,WeightOnly,100000,True,tanhMargin,one_sample,2000,5000,endpointPRBCD,0.001,0.001,10,0,0.8,1000,2000000,True,False,200,extendedPlotting/lpEndpointHitRate
1779606368-accuracy_drop_selector_one_sample_endpointPRBCD-seed1-eps0.1-bs10000-semi1-ep100-ft50,accuracy_drop_selector_one_sample_endpointPRBCD,1,39,0.6525691747665405,-0.3317317068576813,3838.0,820.6764526367188,798.0136108398438,True,0.1,accuracy_drop_selector,10000,100,50,WeightOnly,100000,True,tanhMargin,one_sample,2000,5000,endpointPRBCD,0.001,0.001,10,0,0.8,1000,2000000,True,False,200,extendedPlotting/lpEndpointHitRate
1779606368-accuracy_drop_selector_one_sample_endpointPRBCD-seed1-eps0.1-bs10000-semi1-ep100-ft50,accuracy_drop_selector_one_sample_endpointPRBCD,1,40,0.6517786383628845,-0.32936033606529236,3717.0,820.8114013671875,798.0206909179688,True,0.1,accuracy_drop_selector,10000,100,50,WeightOnly,100000,True,tanhMargin,one_sample,2000,5000,endpointPRBCD,0.001,0.001,10,0,0.8,1000,2000000,True,False,200,extendedPlotting/lpEndpointHitRate
1779606368-accuracy_drop_selector_one_sample_endpointPRBCD-seed1-eps0.1-bs10000-semi1-ep100-ft50,accuracy_drop_selector_one_sample_endpointPRBCD,1,41,0.6505928635597229,-0.3268560767173767,3615.0,820.89013671875,798.0267944335938,True,0.1,accuracy_drop_selector,10000,100,50,WeightOnly,100000,True,tanhMargin,one_sample,2000,5000,endpointPRBCD,0.001,0.001,10,0,0.8,1000,2000000,True,False,200,extendedPlotting/lpEndpointHitRate
