candidate_set_size,shared_cand_set_size,label_mode,ordering,k,victim_accuracy_drop_mean,victim_accuracy_drop_std,n_seeds
2500,10000,endpoint,random,2180,0.03588932752609253,0.004288123492438192,5
2500,10000,endpoint,random,2190,0.03604743480682373,0.00456174609192523,5
2500,10000,endpoint,random,2200,0.0366007924079895,0.004151122337925047,5
2500,10000,endpoint,random,2210,0.03691699504852295,0.004234969907160213,5
2500,10000,endpoint,random,2220,0.03683794736862182,0.004205343135951153,5
2500,10000,endpoint,random,2230,0.0362845778465271,0.003936700403294101,5
2500,10000,endpoint,random,2240,0.036442685127258304,0.0038868019911722515,5
2500,10000,endpoint,random,2250,0.036679840087890624,0.003539700251255611,5
2500,10000,endpoint,random,2260,0.03667985200881958,0.003276102794761474,5
2500,10000,endpoint,random,2270,0.0370751142501831,0.0032401259775357363,5
2500,10000,endpoint,random,2280,0.036758911609649655,0.003400121706438643,5
2500,10000,endpoint,random,2290,0.03707510232925415,0.0036483851847061016,5
2500,10000,endpoint,random,2300,0.036679840087890624,0.0035726490895728116,5
2500,10000,endpoint,random,2310,0.03707510232925415,0.0035726678831662496,5
2500,10000,endpoint,random,2320,0.03723320960998535,0.0037330190704808835,5
2500,10000,endpoint,random,2330,0.03731225728988648,0.0040463233351071565,5
2500,10000,endpoint,random,2340,0.03691699504852295,0.003463865827669869,5
2500,10000,endpoint,random,2350,0.03731224536895752,0.003463848143881784,5
2500,10000,endpoint,random,2360,0.037707507610321045,0.00324254368035657,5
2500,10000,endpoint,random,2370,0.03747035264968872,0.003053973970397046,5
2500,10000,endpoint,random,2380,0.037707507610321045,0.0037351032353517897,5
2500,10000,endpoint,random,2390,0.03770751953125,0.003607448898330272,5
2500,10000,endpoint,random,2400,0.037786567211151124,0.003497511631229169,5
2500,10000,endpoint,random,2410,0.0373913049697876,0.0035419028290305027,5
2500,10000,endpoint,random,2420,0.0373913049697876,0.0038686531847109047,5
2500,10000,endpoint,random,2430,0.03723320960998535,0.004646579428371632,5
2500,10000,endpoint,random,2440,0.036442673206329344,0.0045617305985338075,5
2500,10000,endpoint,random,2450,0.03620553016662598,0.0046566316951371315,5
2500,10000,endpoint,random,2460,0.03596838712692261,0.004743076860964382,5
