candidate_set_size,shared_cand_set_size,label_mode,ordering,k,victim_accuracy_drop_mean,victim_accuracy_drop_std,n_seeds
2500,10000,endpoint,random,1710,0.0448128342628479,0.009133262204852373,5
2500,10000,endpoint,random,1720,0.04481284618377686,0.008209909853181287,5
2500,10000,endpoint,random,1730,0.044278073310852054,0.008007115972067854,5
2500,10000,endpoint,random,1740,0.04406418800354004,0.007511408274199125,5
2500,10000,endpoint,random,1750,0.044598937034606934,0.006759992518870904,5
2500,10000,endpoint,random,1760,0.045454549789428714,0.00742911769545648,5
2500,10000,endpoint,random,1770,0.04491978883743286,0.008480603667361914,5
2500,10000,endpoint,random,1780,0.04491978883743286,0.007958754140694692,5
2500,10000,endpoint,random,1790,0.04556150436401367,0.0088469757849861,5
2500,10000,endpoint,random,1800,0.046310150623321535,0.008896934771113254,5
2500,10000,endpoint,random,1810,0.046203207969665525,0.00822902481527184,5
2500,10000,endpoint,random,1820,0.04577538967132568,0.008485662134288583,5
2500,10000,endpoint,random,1830,0.046737957000732425,0.00775492311599652,5
2500,10000,endpoint,random,1840,0.04598929882049561,0.008622713202641477,5
2500,10000,endpoint,random,1850,0.046737957000732425,0.009095622285495734,5
2500,10000,endpoint,random,1860,0.046631014347076415,0.00890337948462658,5
2500,10000,endpoint,random,1870,0.04780747890472412,0.0090956107212298,5
2500,10000,endpoint,random,1880,0.04780747890472412,0.009389548315369063,5
2500,10000,endpoint,random,1890,0.047914433479309085,0.00931309624270999,5
2500,10000,endpoint,random,1900,0.04812833070755005,0.009346803923597812,5
2500,10000,endpoint,random,1910,0.048128342628479,0.009498541620197516,5
2500,10000,endpoint,random,1920,0.04802138805389404,0.01044082503897157,5
2500,10000,endpoint,random,1930,0.04770052433013916,0.010850452518643762,5
2500,10000,endpoint,random,1940,0.04812833070755005,0.00988942953785131,5
2500,10000,endpoint,random,1950,0.048235297203063965,0.00950155227795633,5
2500,10000,endpoint,random,1960,0.04951871633529663,0.009652360703103286,5
2500,10000,endpoint,random,1970,0.049946510791778566,0.009792069355760127,5
2500,10000,endpoint,random,1980,0.050588226318359374,0.010645601184860347,5
2500,10000,endpoint,random,1990,0.051016032695770264,0.009615244687350028,5
2500,10000,endpoint,random,2000,0.05080212354660034,0.008924228282882519,5
2500,10000,endpoint,random,2010,0.0497326135635376,0.00861441675484458,5
2500,10000,endpoint,random,2020,0.04941176176071167,0.009220506428025603,5
2500,10000,endpoint,random,2030,0.04930481910705566,0.00910189602580518,5
2500,10000,endpoint,random,2040,0.04877004623413086,0.010071371018380808,5
2500,10000,endpoint,random,2050,0.04834223985671997,0.010394144658283961,5
2500,10000,endpoint,random,2060,0.04812835454940796,0.010540312325243623,5
2500,10000,endpoint,random,2070,0.04834225177764893,0.011227384562651339,5
2500,10000,endpoint,random,2080,0.04898395538330078,0.0118530845160279,5
2500,10000,endpoint,random,2090,0.04930481910705566,0.011906044348119177,5
2500,10000,endpoint,random,2100,0.0497326135635376,0.010801593356815109,5
2500,10000,endpoint,random,2110,0.050160419940948484,0.011478027859819214,5
2500,10000,endpoint,random,2120,0.050267374515533446,0.011356544557173815,5
2500,10000,endpoint,random,2130,0.04930481910705566,0.010597135900624405,5
2500,10000,endpoint,random,2140,0.04780747890472412,0.009784764448760882,5
2500,10000,endpoint,random,2150,0.04727274179458618,0.009592932595685716,5
2500,10000,endpoint,random,2160,0.04716577529907227,0.010071365638179503,5
2500,10000,endpoint,random,2170,0.04844919443130493,0.010665718102080743,5
2500,10000,endpoint,random,2180,0.04930480718612671,0.01131492901381722,5
2500,10000,endpoint,random,2190,0.04994652271270752,0.011731834286394587,5
2500,10000,endpoint,random,2200,0.05016043186187744,0.011085124570975425,5
2500,10000,endpoint,random,2210,0.05058823823928833,0.011028210786962603,5
2500,10000,endpoint,random,2220,0.05037434101104736,0.01148424022346217,5
2500,10000,endpoint,random,2230,0.05069519281387329,0.010427115320645362,5
2500,10000,endpoint,random,2240,0.05112299919128418,0.010442177850857333,5
2500,10000,endpoint,random,2250,0.05208556652069092,0.010241719591907105,5
2500,10000,endpoint,random,2260,0.052192521095275876,0.010937082742435534,5
2500,10000,endpoint,random,2270,0.052192509174346924,0.011028232030140247,5
2500,10000,endpoint,random,2280,0.05326204299926758,0.010352798681235603,5
2500,10000,endpoint,random,2290,0.05315507650375366,0.01025567730441012,5
2500,10000,endpoint,random,2300,0.05401070117950439,0.010465434278984337,5
2500,10000,endpoint,random,2310,0.053368985652923584,0.010433959677587574,5
2500,10000,endpoint,random,2320,0.053475940227508546,0.010574149844258526,5
2500,10000,endpoint,random,2330,0.05347592830657959,0.0113754210829041,5
2500,10000,endpoint,random,2340,0.05347592830657959,0.012035047718456236,5
2500,10000,endpoint,random,2350,0.053048133850097656,0.011900038259157484,5
2500,10000,endpoint,random,2360,0.05283423662185669,0.011143019785131976,5
2500,10000,endpoint,random,2370,0.05315508842468262,0.010248679986838446,5
2500,10000,endpoint,random,2380,0.05315507650375366,0.00969668570199785,5
2500,10000,endpoint,random,2390,0.052513372898101804,0.009957141374998982,5
2500,10000,endpoint,random,2400,0.053048121929168704,0.009380414944711589,5
2500,10000,endpoint,random,2410,0.05283423662185669,0.01013505410664469,5
2500,10000,endpoint,random,2420,0.05283422470092773,0.010529449759268715,5
2500,10000,endpoint,random,2430,0.052513372898101804,0.010358329629591238,5
2500,10000,endpoint,random,2440,0.051550793647766116,0.01117634633121103,5
